Country,Users,Lat,Lng
Afghanistan,1203,33.93911,67.709953
Aland Islands,231,60.09726,19.93481
Albania,641,41.153332,20.168331
Algeria,829,28.033886,1.659626
American Samoa,338,-14.270972,-170.132217
Andorra,216,42.546245,1.601554
Angola,201,-11.202692,17.873887
Anguilla,82,18.220554,-63.068615
Antarctica,2437,-75.250973,-0.071389
Antigua and Barbuda,129,17.060816,-61.796428
Argentina,3947,-38.416097,-63.616672
Armenia,449,40.069099,45.038189
Aruba,159,12.52111,-69.968338
Australia,20016,-25.274398,133.775136
Austria,2858,47.516231,14.550072
Azerbaijan,515,40.143105,47.576927
Bahamas,421,25.03428,-77.39628
Bahrain,612,25.930414,50.637772
Bangladesh,716,23.684994,90.356331
Barbados,133,13.193887,-59.543198
Belarus,1630,53.709807,27.953389
Belgium,3381,50.503887,4.469936
Belize,102,17.189877,-88.49765
Benin,43,9.30769,2.315834
Bermuda,149,32.321384,-64.75737
Bhutan,167,27.514162,90.433601
Bolivia,216,-16.290154,-63.588653
"Bonaire, Sint Eustatius and Saba",122,12.15,-68.26667
Bosnia and Herzegovina,1015,43.915886,17.679076
Botswana,173,-22.328474,24.684866
Bouvet Island,71,-54.423199,3.413194
Brazil,13053,-14.235004,-51.92528
British Indian Ocean Territory,112,-6.343194,71.876519
British Virgin Islands,355,18.420695,-64.639968
Brunei,293,4.535277,114.727669
Bulgaria,1770,42.733883,25.48583
Burkina Faso,120,12.238333,-1.561593
Burundi,53,-3.373056,29.918886
Cambodia,211,12.565679,104.990963
Cameroon,71,7.369722,12.354722
Canada,31686,56.130366,-106.346771
Cape Verde,70,16.002082,-24.013197
Cayman Islands,114,19.513469,-80.566956
Central African Republic,141,6.611111,20.939444
Chad,793,15.454166,18.732207
Chile,1788,-35.675147,-71.542969
China,7522,35.86166,104.195397
Christmas Island,1050,-10.447525,105.690449
Colombia,986,4.570868,-74.297333
Comoros,15,-11.875001,43.872219
Cook Islands,286,-21.236736,-159.777671
Costa Rica,528,9.748917,-83.753428
Croatia,1821,45.1,15.2
Cuba,483,21.521757,-77.781167
Cura‡ao,59,12.1084,-68.93354
Cyprus,463,35.126413,33.429859
Czech Republic,4011,49.817492,15.472962
DR Congo,361,-4.32758,15.31357
Denmark,4778,56.26392,9.501785
Djibouti,321,11.825138,42.590275
Dominica,56,15.414999,-61.370976
Dominican Republic,258,18.735693,-70.162651
Ecuador,408,-1.831239,-78.183406
Egypt,775,26.820553,30.802498
El Salvador,258,13.794185,-88.89653
Equatorial Guinea,38,1.650801,10.267895
Eritrea,53,15.179384,39.782334
Estonia,2008,58.595272,25.013607
Ethiopia,217,9.145,40.489673
Falkland Islands,136,-51.7,-57.85
Faroe Islands,346,61.892635,-6.911806
Fiji,617,-16.578193,179.414413
Finland,6396,61.92411,25.748151
France,7968,46.227638,2.213749
French Guiana,36,3.933889,-53.125782
French Polynesia,58,-17.679742,-149.406843
French Southern and Antarctic Lands,56,-21.1151,55.5364
Gabon,131,-0.803689,11.609444
Gambia,65,13.443182,-15.310139
Georgia,834,42.315407,43.356892
Germany,18517,51.165691,10.451526
Ghana,98,7.946527,-1.023194
Gibraltar,103,36.137741,-5.345374
Greece,2762,39.074208,21.824312
Greenland,292,71.706936,-42.604303
Grenada,66,12.262776,-61.604171
Guadeloupe,76,16.995971,-62.067641
Guam,133,13.444304,144.793731
Guatemala,246,15.783471,-90.230759
Guernsey,102,49.465691,-2.585278
Guinea,41,9.945587,-9.696645
Guinea-Bissau,30,11.803749,-15.180413
Guyana,47,4.860416,-58.93018
Haiti,153,18.971187,-72.285215
Heard Island and McDonald Islands,702,-53.08181,73.504158
Honduras,201,15.199999,-86.241905
Hong Kong,1667,22.396428,114.109497
Hungary,3058,47.162494,19.503304
Iceland,1155,64.963051,-19.020835
India,4645,20.593684,78.96288
Indonesia,5608,-0.789275,113.921327
Iran,1294,32.427908,53.688046
Iraq,854,33.223191,43.679291
Ireland,2923,53.41291,-8.24389
Isle of Man,733,54.236107,-4.548056
Israel,2631,31.046051,34.851612
Italy,4254,41.87194,12.56738
Ivory Coast,109,6.82055,-5.27674
Jamaica,663,18.109581,-77.297508
Japan,8795,36.204824,138.252924
Jersey,143,49.214439,-2.13125
Jordan,435,30.585164,36.238414
Kazakhstan,1305,48.019573,66.923684
Kenya,161,-0.023559,37.906193
Kiribati,81,-3.370417,-168.734039
Kosovo,110,42.602636,20.902977
Kuwait,520,29.31166,47.481766
Kyrgyzstan,374,41.20438,74.766098
Laos,109,19.85627,102.495496
Latvia,1844,56.879635,24.603189
Lebanon,431,33.854721,35.862285
Lesotho,31,-29.609988,28.233608
Liberia,107,6.428055,-9.429499
Libya,102,26.3351,17.228331
Liechtenstein,221,47.166,9.555373
Lithuania,2372,55.169438,23.881275
Luxembourg,459,49.815273,6.129583
Macau,154,22.198745,113.543873
Macedonia,669,41.99646,21.43141
Madagascar,299,-18.766947,46.869107
Malawi,50,-13.254308,34.301525
Malaysia,3094,4.210484,101.975766
Maldives,142,3.202778,73.22068
Mali,56,17.570692,-3.996166
Malta,378,35.937496,14.375416
Marshall Islands,72,7.131474,171.184478
Martinique,53,14.641528,-61.024174
Mauritania,29,21.00789,-10.940835
Mauritius,99,-20.348404,57.552152
Mayotte,38,-12.8275,45.166244
Mexico,2663,23.634501,-102.552784
Micronesia,120,7.425554,150.550812
Moldova,590,47.411631,28.369885
Monaco,383,43.750298,7.412841
Mongolia,613,46.862496,103.846656
Montenegro,278,42.708678,19.37439
Montserrat,43,16.742498,-62.187366
Morocco,494,31.791702,-7.09262
Mozambique,129,-18.665695,35.529562
Myanmar,330,19.745,96.12972
Namibia,81,-22.95764,18.49041
Nauru,91,-0.522778,166.931503
Nepal,344,28.394857,84.124008
Netherlands,8504,52.132633,5.291266
New Caledonia,59,-20.904305,165.618042
New Zealand,4201,-40.900557,174.885971
Nicaragua,116,12.865416,-85.207229
Niger,1641,17.607789,8.081666
Nigeria,447,9.081999,8.675277
Niue,116,-19.054445,-169.867233
Norfolk Island,245,-29.040835,167.954712
North Korea,1347,40.339852,127.510093
Northern Mariana Islands,131,17.33083,145.38469
Norway,5483,60.472024,8.468946
Oman,288,21.512583,55.923255
Pakistan,1136,30.375321,69.345116
Palau,88,7.51498,134.58252
Palestine,664,31.89964,35.20422
Panama,307,8.537981,-80.782127
Papua New Guinea,120,-6.314993,143.95555
Paraguay,206,-23.442503,-58.443832
Peru,1948,-9.189967,-75.015152
Philippines,3059,12.879721,121.774017
Pitcairn Islands,82,-24.703615,-127.439308
Poland,9037,51.919438,19.145136
Portugal,3612,39.399872,-8.224454
Puerto Rico,514,18.220833,-66.590149
Qatar,402,25.354826,51.183884
Republic of the Congo,373,-4.26613,15.28318
Romania,5314,45.943161,24.96676
Russia,15666,61.52401,105.318756
Rwanda,88,-1.940278,29.873888
Saint Barth‚lemy,69,17.89618,-62.84978
Saint Helena,94,-24.143474,-10.030696
Saint Kitts and Nevis,62,17.357822,-62.782998
Saint Lucia,123,13.909444,-60.978893
Saint Martin,59,18.06819,-63.08302
Saint Pierre and Miquelon,80,46.941936,-56.27111
Saint Vincent and the Grenadines,116,12.984305,-61.287228
Samoa,63,-13.759029,-172.104629
San Marino,167,43.94236,12.457777
Saudi Arabia,1537,23.885942,45.079162
Senegal,56,14.497401,-14.452362
Serbia,2317,44.016521,21.005859
Seychelles,170,-4.679574,55.491977
Sierra Leone,70,8.460555,-11.779889
Singapore,2456,1.352083,103.819836
Sint Maarten,62,18.026,-63.04582
Slovakia,2241,48.669026,19.699024
Slovenia,1133,46.151241,14.995463
Solomon Islands,65,-9.64571,160.156194
Somalia,467,5.152149,46.199616
South Africa,3057,-30.559482,22.937506
South Georgia,737,-54.29123687,-36.76678437
South Korea,2713,35.907757,127.766922
South Sudan,56,4.85165,31.58247
Spain,4099,40.463667,-3.74922
Sri Lanka,502,7.873054,80.771797
Sudan,100,12.862807,30.217636
Suriname,71,3.919305,-56.027783
Svalbard and Jan Mayen,107,77.553604,23.670272
Swaziland,154,-26.522503,31.465866
Sweden,8835,60.128161,18.643501
Switzerland,2567,46.818188,8.227512
Syria,490,34.802075,38.996815
S?o Tom‚ and Pr¡ncipe,48,0.33654,6.72732
Taiwan,1450,23.69781,120.960515
Tajikistan,181,38.861034,71.276093
Tanzania,79,-6.369028,34.888822
Thailand,2379,15.870032,100.992541
Timor-Leste,52,-8.874217,125.727539
Togo,163,8.619543,0.824782
Tokelau,70,-8.967363,-171.855881
Tonga,92,-21.178986,-175.198242
Trinidad and Tobago,212,10.691803,-61.222503
Tunisia,411,33.886917,9.537499
Turkey,5502,38.963745,35.243322
Turkmenistan,133,38.969719,59.556278
Turks and Caicos Islands,63,21.694025,-71.797928
Tuvalu,104,-7.109535,177.64933
Uganda,1145,1.373333,32.290275
Ukraine,4164,48.379433,31.16558
United Arab Emirates,1463,23.424076,53.847818
United Kingdom,41481,55.378051,-3.435973
United States Minor Outlying Islands,1537,28.20534833,-177.3834051
United States Virgin Islands,939,18.3419,-64.9307
Uruguay,692,-32.522779,-55.765835
Uzbekistan,440,41.377491,64.585262
Vanuatu,77,-15.376706,166.959158
Vatican City,1637,41.902916,12.453389
Venezuela,679,6.42375,-66.58973
Vietnam,2375,14.058324,108.277199
Wallis and Futuna,130,-13.768752,-177.156097
Western Sahara,162,24.215527,-12.885834
Yemen,250,15.552727,48.516388
Zambia,204,-13.133897,27.849332
Zimbabwe,1251,-19.015438,29.154857
